male,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,age_at_first_arrest,marital_status,slevel,rs_fta,rs_grecid,rs_vrecid,ds_fta,ds_grecid,ds_vrecid,fta_text,grecid_text,vrecid_text
1,22,0,0,0,0,20,Single,2,16.0,-0.67,-1.71,2,4,6,Low,Low,Medium
1,63,0,0,0,25,25,Single,3,26.0,0.41,-2.03,7,9,4,Medium,High,Low
0,34,0,0,0,0,34,Single,1,12.0,-1.54,-3.41,1,2,1,Low,Low,Low
0,32,0,0,0,3,22,Single,2,16.0,-0.41,-2.91,2,6,2,Low,Medium,Low
1,23,0,0,1,0,20,Single,1,16.0,-0.91,-1.91,2,3,5,Low,Low,Medium
1,28,0,0,0,1,20,Single,1,15.0,-0.56,-1.88,1,4,5,Low,Low,Medium
1,29,0,0,0,2,22,Single,1,14.0,-0.59,-1.77,1,4,5,Low,Low,Medium
1,27,0,0,0,1,26,Single,3,36.0,0.33,-1.35,10,9,7,High,High,Medium
0,24,0,0,0,0,24,Single,2,17.0,-0.64,-1.7,2,5,6,Low,Medium,Medium
1,37,0,0,0,6,35,Single,1,21.0,-0.42,-2.9,4,5,2,Low,Medium,Low
1,51,0,0,0,0,50,Single,1,16.0,-2.32,-3.92,2,1,1,Low,Low,Low
1,43,0,0,0,3,34,Married,1,15.0,-1.36,-2.81,1,2,2,Low,Low,Low
1,51,0,0,0,0,49,Single,1,17.0,-2.02,-3.82,2,1,1,Low,Low,Low
1,20,0,0,1,1,18,Single,2,18.0,-0.01,-1.28,3,7,7,Low,Medium,Medium
1,41,0,0,0,1,33,Single,1,19.0,-1.2,-2.88,3,2,2,Low,Low,Low
1,57,0,0,0,0,56,Married,1,14.0,-2.36,-3.98,1,1,1,Low,Low,Low
1,40,0,0,0,1,26,Separated,1,17.0,-0.86,-2.75,2,3,2,Low,Low,Low
1,26,0,0,0,4,18,Single,2,23.0,-0.05,-2.09,5,7,4,Medium,Medium,Low
0,39,0,0,0,1,35,Married,1,16.0,-1.63,-3.18,2,2,1,Low,Low,Low
1,21,0,0,1,1,19,Single,3,15.0,0.15,-1.36,1,8,7,Low,High,Medium
1,21,0,1,1,1,19,Single,3,22.0,0.54,-1.56,5,9,6,Medium,High,Medium
1,42,0,0,0,5,22,Single,1,18.0,-0.69,-3.22,3,4,1,Low,Low,Low
0,37,0,0,0,1,34,Significant Other,1,16.0,-0.69,-2.29,2,5,3,Low,Medium,Low
1,24,0,2,0,3,22,Single,1,14.0,-0.69,-2.2,1,4,4,Low,Low,Low
1,39,0,0,0,0,37,Single,1,16.0,-2.07,-3.61,2,1,1,Low,Low,Low
0,64,0,0,0,0,64,Single,1,23.0,-0.59,-3.21,6,5,1,Medium,Medium,Low
0,34,0,0,0,0,33,Single,1,11.0,-1.93,-3.35,1,1,1,Low,Low,Low
1,26,0,1,0,4,19,Single,4,19.0,0.25,-0.83,3,8,9,Low,High,High
1,58,0,0,0,1,56,Single,1,15.0,-1.22,-3.0,1,2,1,Low,Low,Low
1,48,0,0,0,1,43,Single,1,22.0,-1.28,-3.68,5,2,1,Medium,Low,Low
1,24,0,1,0,5,23,Single,1,16.0,-0.41,-2.21,2,5,4,Low,Medium,Low
1,25,0,0,0,0,24,Single,4,23.0,0.41,-0.9,5,9,9,Medium,High,High
1,26,0,0,0,0,24,Single,1,15.0,-0.6,-2.32,1,4,3,Low,Low,Low
1,46,0,0,0,0,44,Separated,1,13.0,-2.18,-3.82,1,1,1,Low,Low,Low
0,30,0,0,0,1,27,Single,1,16.0,-1.31,-2.64,2,2,2,Low,Low,Low
1,24,0,1,1,7,18,Single,3,17.0,0.46,-1.45,2,9,7,Low,High,Medium
1,25,0,0,0,1,24,Single,1,19.0,-1.48,-2.64,3,1,2,Low,Low,Low
0,21,0,0,0,0,18,Single,2,16.0,-0.66,-1.49,2,5,7,Low,Medium,Medium
1,29,0,0,0,4,18,Single,1,17.0,-0.7,-1.87,2,4,5,Low,Low,Medium
1,24,0,0,0,3,22,Single,1,11.0,-0.93,-2.16,1,3,4,Low,Low,Low
1,24,0,0,0,1,22,Significant Other,1,21.0,-0.76,-1.96,4,3,5,Low,Low,Medium
1,30,0,0,0,1,26,Single,2,25.0,-0.07,-1.83,6,7,5,Medium,Medium,Medium
1,36,0,0,0,9,19,Single,3,18.0,0.27,-2.74,3,8,2,Low,High,Low
1,30,0,0,0,5,21,Single,1,18.0,-0.59,-2.29,3,4,3,Low,Low,Low
1,24,0,0,0,0,23,Single,2,26.0,0.05,-1.93,7,7,5,Medium,Medium,Medium
0,21,0,0,0,0,21,Single,1,11.0,-0.9,-1.74,1,4,5,Low,Low,Medium
1,52,0,0,0,0,52,Single,1,21.0,-1.8,-3.34,4,1,1,Low,Low,Low
0,22,0,0,0,1,20,Single,2,17.0,-0.55,-1.42,2,6,7,Low,Medium,Medium
1,38,0,0,0,3,24,Married,1,16.0,-1.13,-2.97,2,2,1,Low,Low,Low
1,33,0,0,0,0,32,Single,1,14.0,-1.65,-2.73,1,1,2,Low,Low,Low
1,25,0,0,0,0,22,Married,4,24.0,0.46,-1.12,6,9,8,Medium,High,High
1,31,0,3,0,25,18,Single,3,23.0,0.09,-1.48,5,8,7,Medium,High,Medium
1,24,0,0,0,0,21,Single,1,12.0,-0.56,-1.8,1,4,5,Low,Low,Medium
1,30,0,0,0,1,29,Single,1,24.0,-1.75,-3.13,6,1,1,Medium,Low,Low
1,30,0,0,0,7,22,Single,2,23.0,0.07,-2.54,5,7,3,Medium,Medium,Low
1,39,0,0,0,13,18,Single,3,33.0,0.18,-1.55,9,8,6,High,High,Medium
1,46,0,0,0,0,44,Married,1,16.0,-1.36,-2.87,2,2,2,Low,Low,Low
1,46,0,0,0,0,44,Married,1,11.0,-2.27,-3.9,1,1,1,Low,Low,Low
1,48,0,0,0,5,21,Single,1,18.0,-1.56,-2.94,3,1,2,Low,Low,Low
1,23,0,0,0,0,22,Single,2,16.0,-0.28,-2.2,2,6,4,Low,Medium,Low
0,30,0,0,0,4,27,Single,1,19.0,-1.06,-2.48,3,3,3,Low,Low,Low
1,40,0,0,0,0,37,Single,1,15.0,-1.38,-3.2,1,2,1,Low,Low,Low
0,52,0,0,0,0,50,Divorced,1,15.0,-2.27,-3.87,1,1,1,Low,Low,Low
1,23,1,0,1,3,18,Single,4,27.0,0.57,-0.26,7,9,10,Medium,High,High
1,41,0,0,0,2,35,Married,1,16.0,-1.48,-3.46,2,1,1,Low,Low,Low
0,26,0,0,0,1,21,Single,1,12.0,-1.33,-2.67,1,2,2,Low,Low,Low
1,22,0,1,0,1,19,Single,3,12.0,0.14,-1.66,1,8,6,Low,High,Medium
1,42,0,0,0,3,29,Single,1,26.0,-0.54,-2.87,7,4,2,Medium,Low,Low
1,23,0,3,1,6,19,Single,3,20.0,1.43,-1.56,3,10,6,Low,High,Medium
1,33,0,0,0,4,26,Single,1,18.0,-0.96,-2.93,3,3,2,Low,Low,Low
1,35,0,0,0,0,34,Single,2,26.0,-0.16,-2.26,7,6,3,Medium,Medium,Low
1,28,0,0,0,1,27,Single,1,13.0,-1.0,-2.74,1,3,2,Low,Low,Low
0,37,0,0,0,4,26,Divorced,1,17.0,-0.77,-2.66,2,4,2,Low,Low,Low
1,50,0,0,0,1,50,Single,1,25.0,-1.42,-3.26,6,1,1,Medium,Low,Low
1,26,0,0,0,0,25,Single,1,11.0,-1.29,-2.57,1,2,2,Low,Low,Low
1,48,0,0,0,3,41,Single,2,21.0,-0.23,-1.94,4,6,5,Low,Medium,Medium
1,21,0,0,0,0,20,Single,2,12.0,-0.37,-1.26,1,5,7,Low,Medium,Medium
1,18,0,0,0,0,18,Single,4,18.0,0.53,-0.49,3,9,10,Low,High,High
1,38,0,0,1,25,19,Single,3,30.0,0.77,-1.26,8,10,7,High,High,Medium
1,32,0,0,0,1,30,Single,2,24.0,0.03,-2.72,6,7,2,Medium,Medium,Low
1,24,0,0,0,3,18,Single,2,32.0,-0.02,-1.68,9,6,6,High,Medium,Medium
1,51,0,0,0,3,26,Single,1,19.0,-1.26,-3.64,3,2,1,Low,Low,Low
1,19,0,0,0,1,18,Single,2,13.0,-0.68,-1.41,1,4,7,Low,Low,Medium
1,32,0,0,0,4,24,Married,1,22.0,-0.48,-2.58,5,5,2,Medium,Medium,Low
0,31,0,0,0,1,29,Single,1,19.0,-1.13,-2.5,3,3,3,Low,Low,Low
0,29,0,0,0,1,24,Married,1,19.0,-0.73,-2.03,3,5,4,Low,Medium,Low
1,43,0,0,0,0,41,Married,1,11.0,-2.32,-3.79,1,1,1,Low,Low,Low
0,25,0,0,0,2,20,Single,1,14.0,-0.96,-2.66,1,4,2,Low,Low,Low
1,26,0,0,0,9,18,Single,2,18.0,-0.02,-1.45,3,7,7,Low,Medium,Medium
1,27,0,0,0,0,24,Single,3,23.0,1.07,-1.9,5,10,5,Medium,High,Medium
1,52,0,0,0,1,51,Significant Other,1,20.0,-1.6,-3.8,3,1,1,Low,Low,Low
1,27,0,0,0,1,27,Single,1,11.0,-1.58,-2.78,1,1,2,Low,Low,Low
1,23,0,0,0,0,23,Single,3,21.0,0.49,-1.83,4,9,5,Low,High,Medium
0,57,0,0,0,1,55,Single,1,15.0,-1.65,-3.77,1,2,1,Low,Low,Low
1,47,0,0,0,2,36,Married,1,15.0,-1.71,-3.11,1,1,1,Low,Low,Low
1,28,0,0,0,3,25,Single,2,15.0,-0.17,-2.33,1,6,3,Low,Medium,Low
1,38,0,0,0,0,38,Single,1,15.0,-0.38,-2.41,1,5,3,Low,Medium,Low
1,32,0,0,0,3,27,Married,1,12.0,-1.58,-2.74,1,1,2,Low,Low,Low
1,27,0,0,0,5,21,Single,1,12.0,-0.97,-2.73,1,3,2,Low,Low,Low
1,53,0,0,0,11,45,Single,1,20.0,-1.29,-3.37,3,2,1,Low,Low,Low
1,45,0,0,0,0,43,Married,1,15.0,-1.85,-3.54,1,1,1,Low,Low,Low
1,20,0,0,0,0,20,Single,3,14.0,0.28,-1.28,1,8,7,Low,High,Medium
1,29,0,0,0,2,20,Single,1,26.0,-0.47,-2.61,7,5,2,Medium,Medium,Low
0,42,0,0,0,0,40,Single,1,15.0,-1.95,-3.47,1,1,1,Low,Low,Low
1,33,0,0,0,0,31,Single,1,13.0,-1.36,-3.17,1,2,1,Low,Low,Low
1,26,0,0,0,4,20,Single,1,16.0,-0.69,-2.11,2,4,4,Low,Low,Low
0,28,0,0,1,3,23,Single,1,12.0,-0.97,-2.47,1,4,3,Low,Low,Low
0,53,0,0,0,0,51,Single,1,23.0,-2.37,-4.14,6,1,1,Medium,Low,Low
1,39,0,0,0,1,39,Single,1,23.0,-1.32,-3.02,5,2,1,Medium,Low,Low
1,24,0,0,0,0,21,Single,1,12.0,-1.34,-2.32,1,2,3,Low,Low,Low
1,40,0,0,0,1,39,Divorced,1,18.0,-0.82,-2.76,3,3,2,Low,Low,Low
1,35,3,0,0,24,17,Single,4,37.0,0.93,-1.15,10,10,8,High,High,High
1,28,0,0,0,1,26,Single,1,14.0,-1.13,-2.68,1,2,2,Low,Low,Low
1,28,0,0,0,1,26,Single,1,18.0,-0.36,-2.2,3,5,4,Low,Medium,Low
1,39,0,0,1,6,18,Single,2,23.0,-0.02,-2.16,5,7,4,Medium,Medium,Low
1,35,0,0,1,0,34,Married,1,17.0,-0.81,-2.2,2,3,4,Low,Low,Low
1,22,0,0,0,1,20,Single,2,15.0,-0.1,-1.64,1,7,6,Low,Medium,Medium
1,46,0,0,0,2,26,Single,1,20.0,-1.32,-2.62,3,2,2,Low,Low,Low
1,42,0,0,0,0,41,Single,1,12.0,-2.06,-3.44,1,1,1,Low,Low,Low
1,25,0,0,0,0,23,Single,1,12.0,-1.09,-2.14,1,2,4,Low,Low,Low
1,30,0,0,0,0,29,Single,1,16.0,-0.64,-2.81,2,4,2,Low,Low,Low
1,52,0,0,0,1,36,Single,1,30.0,-0.35,-2.42,8,5,3,High,Medium,Low
1,28,0,0,0,4,21,Single,1,14.0,-1.09,-2.48,1,2,3,Low,Low,Low
1,40,0,0,0,0,39,Married,1,11.0,-2.07,-3.58,1,1,1,Low,Low,Low
0,35,0,0,0,1,34,Single,1,23.0,-1.04,-2.93,6,3,2,Medium,Low,Low
0,57,0,0,0,1,33,Single,1,13.0,-1.99,-3.81,1,1,1,Low,Low,Low
1,25,0,0,0,0,24,Single,2,22.0,-0.1,-1.39,5,7,7,Medium,Medium,Medium
1,20,0,0,1,0,19,Single,2,11.0,-0.63,-1.64,1,4,6,Low,Low,Medium
1,51,0,0,0,0,51,Single,3,31.0,0.42,-2.13,9,9,4,High,High,Low
1,44,0,0,0,0,44,Single,1,14.0,-2.06,-3.63,1,1,1,Low,Low,Low
1,49,0,0,0,3,27,Single,1,18.0,-1.47,-3.03,3,1,1,Low,Low,Low
1,42,0,0,0,1,20,Married,1,16.0,-1.4,-2.71,2,1,2,Low,Low,Low
1,21,0,0,0,2,20,Single,3,14.0,0.56,-1.54,1,9,6,Low,High,Medium
1,32,0,0,0,19,21,Single,4,30.0,1.39,0.15,8,10,10,High,High,High
1,63,0,0,0,3,36,Single,3,32.0,0.57,-3.1,9,9,1,High,High,Low
0,29,0,0,0,0,28,Married,1,15.0,-1.36,-2.72,1,2,2,Low,Low,Low
1,29,0,0,0,2,23,Single,1,25.0,-0.77,-2.55,6,3,3,Medium,Low,Low
1,58,0,0,0,0,57,Widowed,1,11.0,-2.54,-4.24,1,1,1,Low,Low,Low
1,27,0,0,0,3,22,Single,1,14.0,-0.85,-2.65,1,3,2,Low,Low,Low
1,46,0,0,0,0,44,Married,1,12.0,-1.6,-3.18,1,1,1,Low,Low,Low
1,23,0,0,0,5,19,Single,4,20.0,0.67,-1.17,3,10,8,Low,High,High
1,25,0,0,0,0,24,Single,1,14.0,-1.31,-2.63,1,2,2,Low,Low,Low
1,24,0,0,0,1,22,Single,1,12.0,-0.91,-2.48,1,3,3,Low,Low,Low
1,51,0,0,0,0,51,Single,1,13.0,-2.39,-3.93,1,1,1,Low,Low,Low
1,40,0,0,0,0,39,Single,3,18.0,0.31,-2.1,3,9,4,Low,High,Low
1,28,0,0,0,10,18,Single,2,21.0,-0.05,-1.93,4,7,5,Low,Medium,Medium
1,52,0,0,0,0,50,Married,1,11.0,-2.44,-4.0,1,1,1,Low,Low,Low
1,27,0,0,0,1,25,Single,1,14.0,-1.01,-2.46,1,2,3,Low,Low,Low
0,69,0,0,0,0,68,Divorced,1,14.0,-2.82,-4.11,1,1,1,Low,Low,Low
1,47,0,0,0,0,45,Separated,1,16.0,-2.11,-3.67,2,1,1,Low,Low,Low
1,27,0,0,0,4,20,Married,2,16.0,-0.01,-1.89,2,7,5,Low,Medium,Medium
1,49,0,0,0,0,48,Married,1,15.0,-1.26,-2.95,1,2,1,Low,Low,Low
1,32,0,0,0,1,21,Single,2,15.0,0.01,-2.55,1,7,3,Low,Medium,Low
1,23,0,0,0,3,18,Widowed,2,15.0,-0.27,-1.6,1,6,6,Low,Medium,Medium
1,31,0,0,0,12,21,Single,2,23.0,-0.17,-1.76,5,6,5,Medium,Medium,Medium
1,45,0,0,0,1,37,Married,1,25.0,-0.81,-2.3,6,3,3,Medium,Low,Low
0,33,0,0,0,1,31,Single,1,19.0,-1.88,-3.24,3,1,1,Low,Low,Low
1,33,0,0,0,2,27,Single,1,16.0,-1.52,-2.79,2,1,2,Low,Low,Low
1,25,0,0,0,1,23,Married,1,12.0,-0.86,-2.43,1,3,3,Low,Low,Low
0,27,0,0,0,0,25,Single,1,18.0,-1.54,-2.74,3,2,2,Low,Low,Low
1,51,0,0,0,0,50,Married,1,13.0,-2.44,-4.0,1,1,1,Low,Low,Low
1,47,0,0,0,4,27,Single,2,19.0,-0.34,-1.6,3,5,6,Low,Medium,Medium
1,23,0,0,0,0,23,Single,2,13.0,-0.8,-1.46,1,3,7,Low,Low,Medium
1,41,0,0,0,0,41,Divorced,1,14.0,-1.9,-3.3,1,1,1,Low,Low,Low
1,32,0,0,0,14,18,Single,3,32.0,0.44,-1.59,9,9,6,High,High,Medium
1,24,0,0,0,2,18,Single,2,15.0,0.19,-1.75,1,7,5,Low,Medium,Medium
1,26,0,0,0,5,23,Single,4,27.0,0.87,-1.24,7,10,8,Medium,High,High
1,47,0,0,0,0,45,Married,1,13.0,-0.58,-3.43,1,4,1,Low,Low,Low
1,25,0,0,0,1,23,Single,1,12.0,-0.44,-2.41,1,5,3,Low,Medium,Low
1,26,0,0,0,2,25,Single,1,13.0,-0.64,-1.94,1,4,5,Low,Low,Medium
1,21,0,0,0,1,19,Single,3,23.0,0.27,-1.32,5,8,7,Medium,High,Medium
1,54,0,0,0,0,54,Single,2,17.0,-0.28,-1.92,2,6,5,Low,Medium,Medium
1,25,0,0,0,2,24,Single,1,11.0,-1.23,-2.47,1,2,3,Low,Low,Low
1,22,1,1,0,6,18,Single,2,16.0,-0.06,-1.94,2,7,5,Low,Medium,Medium
1,35,0,0,0,0,32,Single,1,21.0,-0.92,-2.8,4,3,2,Low,Low,Low
0,26,0,0,0,0,24,Single,2,24.0,-0.46,-1.68,6,6,6,Medium,Medium,Medium
1,20,0,0,0,0,19,Single,2,15.0,-0.67,-1.68,1,4,6,Low,Low,Medium
1,30,0,1,0,8,21,Single,4,24.0,0.63,-1.22,6,10,8,Medium,High,High
1,30,0,0,0,1,25,Single,1,19.0,-0.45,-2.45,3,5,3,Low,Medium,Low
0,26,0,0,0,1,24,Single,1,20.0,-0.95,-2.2,4,4,4,Low,Low,Low
1,45,0,0,0,0,43,Married,1,24.0,-0.45,-2.02,6,5,4,Medium,Medium,Low
1,20,0,0,0,1,18,Single,4,15.0,1.1,-0.52,1,10,10,Low,High,High
1,33,0,0,0,7,20,Single,3,33.0,0.08,-0.93,9,7,9,High,Medium,High
1,35,0,0,0,2,33,Married,1,14.0,-1.57,-2.87,1,1,2,Low,Low,Low
1,41,0,0,0,5,20,Single,1,16.0,-1.49,-3.19,2,1,1,Low,Low,Low
1,23,0,0,0,0,20,Single,1,13.0,-0.88,-1.84,1,3,5,Low,Low,Medium
1,37,0,0,0,0,36,Married,4,29.0,0.28,-0.89,8,8,9,High,High,High
1,42,0,0,0,15,19,Single,3,31.0,0.33,-1.49,9,9,7,High,High,Medium
1,42,0,0,0,5,22,Single,2,15.0,-0.12,-2.97,1,7,1,Low,Medium,Low
0,21,0,1,0,0,19,Single,1,11.0,-0.68,-1.74,1,5,5,Low,Medium,Medium
1,64,0,0,0,0,64,Divorced,1,13.0,-1.75,-3.62,1,1,1,Low,Low,Low
1,25,0,0,1,8,18,Single,4,21.0,0.67,-0.83,4,10,9,Low,High,High
1,54,0,0,0,0,51,Divorced,1,18.0,-1.42,-3.12,3,1,1,Low,Low,Low
1,27,0,0,0,10,19,Single,3,20.0,-0.22,-1.04,3,6,8,Low,Medium,High
1,41,0,0,0,0,40,Single,1,17.0,-0.76,-3.35,2,3,1,Low,Low,Low
1,22,0,0,0,0,20,Single,1,13.0,-0.78,-1.76,1,3,5,Low,Low,Medium
1,38,0,0,0,2,24,Single,1,15.0,-0.48,-2.96,1,5,1,Low,Medium,Low
0,21,0,0,0,0,19,Single,2,14.0,-0.18,-1.41,1,7,7,Low,Medium,Medium
1,23,0,0,0,2,20,Single,2,16.0,-0.17,-1.9,2,6,5,Low,Medium,Medium
1,30,0,0,0,1,28,Single,1,17.0,-1.5,-2.86,2,1,2,Low,Low,Low
1,36,0,0,0,5,22,Single,3,27.0,0.2,-2.37,7,8,3,Medium,High,Low
0,24,0,0,0,2,21,Single,2,15.0,-0.47,-2.32,1,6,3,Low,Medium,Low
1,33,0,0,0,4,20,Married,1,21.0,-0.9,-2.0,4,3,4,Low,Low,Low
1,38,0,0,0,0,37,Separated,1,13.0,-1.77,-3.2,1,1,1,Low,Low,Low
1,29,0,0,1,10,21,Single,2,16.0,-0.03,-1.82,2,7,5,Low,Medium,Medium
1,41,0,0,0,0,41,Married,1,24.0,-1.48,-2.99,6,1,1,Medium,Low,Low
0,56,0,0,0,3,48,Single,1,18.0,-1.64,-3.95,3,2,1,Low,Low,Low
1,54,0,0,0,4,49,Single,1,34.0,-0.38,-2.16,10,5,4,High,Medium,Low
1,22,0,0,0,2,20,Single,2,11.0,-0.51,-1.67,1,5,6,Low,Medium,Medium
1,38,0,0,0,2,19,Divorced,1,19.0,-1.85,-3.44,3,1,1,Low,Low,Low
1,26,0,0,0,0,24,Single,1,17.0,-0.69,-2.39,2,4,3,Low,Low,Low
0,20,0,0,0,0,19,Single,2,15.0,-0.83,-1.72,1,4,6,Low,Low,Medium
1,56,0,0,0,0,56,Single,1,18.0,-1.62,-3.18,3,1,1,Low,Low,Low
1,20,0,0,1,0,19,Single,4,18.0,0.78,-0.47,3,10,10,Low,High,High
0,28,0,0,0,0,27,Single,3,23.0,0.37,-1.28,6,9,7,Medium,High,Medium
1,37,0,0,0,0,36,Significant Other,1,22.0,-1.03,-2.67,5,2,2,Medium,Low,Low
1,52,0,0,0,6,29,Significant Other,1,16.0,-1.73,-3.48,2,1,1,Low,Low,Low
1,27,0,0,0,4,25,Married,1,14.0,-0.66,-1.87,1,4,5,Low,Low,Medium
1,29,0,0,0,0,27,Single,1,13.0,-1.44,-2.86,1,1,2,Low,Low,Low
0,23,0,0,0,6,19,Single,2,15.0,-0.34,-1.91,1,7,5,Low,Medium,Medium
1,35,0,0,0,1,33,Single,1,11.0,-1.63,-3.08,1,1,1,Low,Low,Low
1,32,0,0,0,8,22,Single,4,36.0,0.57,-0.33,10,9,10,High,High,High
1,21,0,0,0,1,19,Single,2,18.0,-0.04,-1.5,3,7,6,Low,Medium,Medium
1,25,0,0,0,0,23,Single,2,13.0,-0.78,-1.59,1,3,6,Low,Low,Medium
1,22,0,0,0,0,20,Single,1,12.0,-0.77,-1.79,1,3,5,Low,Low,Medium
1,32,0,1,0,5,19,Significant Other,1,15.0,-1.2,-2.86,1,2,2,Low,Low,Low
1,29,0,0,0,4,24,Single,1,18.0,-1.26,-2.93,3,2,2,Low,Low,Low
1,30,0,0,0,4,24,Married,1,17.0,-0.55,-2.68,2,4,2,Low,Low,Low
0,30,0,0,0,3,25,Single,1,22.0,-0.84,-2.1,5,4,4,Medium,Low,Low
1,43,0,0,0,2,19,Single,1,22.0,-0.76,-2.17,5,3,4,Medium,Low,Low
1,26,0,0,0,1,22,Single,2,16.0,-0.28,-2.42,2,6,3,Low,Medium,Low
1,22,0,0,0,1,21,Single,1,11.0,-0.95,-2.0,1,3,4,Low,Low,Low
1,56,0,0,0,8,20,Single,1,18.0,-1.11,-3.65,3,2,1,Low,Low,Low
1,23,0,0,0,2,20,Single,2,15.0,-0.1,-1.72,1,7,6,Low,Medium,Medium
1,32,1,0,0,8,17,Single,1,18.0,-0.52,-2.01,3,4,4,Low,Low,Low
1,52,0,0,0,1,50,Married,1,14.0,-2.19,-3.69,1,1,1,Low,Low,Low
1,29,0,0,0,6,24,Single,4,23.0,0.68,-0.79,5,10,9,Medium,High,High
0,51,0,0,0,0,49,Married,1,13.0,-2.42,-3.97,1,1,1,Low,Low,Low
1,42,0,0,0,0,40,Single,1,15.0,-2.1,-3.62,1,1,1,Low,Low,Low
1,41,0,0,0,0,39,Married,1,18.0,-1.27,-3.4,3,2,1,Low,Low,Low
1,19,0,0,0,0,18,Single,2,12.0,-0.72,-1.45,1,4,7,Low,Low,Medium
1,55,0,0,0,6,50,Divorced,1,20.0,-0.91,-3.66,3,3,1,Low,Low,Low
1,21,0,0,1,0,18,Single,4,19.0,0.19,-0.86,3,8,9,Low,High,High
0,36,0,0,0,4,32,Single,3,28.0,0.16,-2.29,8,9,3,High,High,Low
0,34,0,0,0,1,33,Single,2,13.0,-0.41,-2.81,1,6,2,Low,Medium,Low
0,22,0,0,0,0,20,Single,1,11.0,-1.17,-2.08,1,3,4,Low,Low,Low
1,45,0,0,0,2,28,Single,1,14.0,-1.47,-2.85,1,1,2,Low,Low,Low
0,30,0,0,0,3,25,Single,1,20.0,-1.46,-2.96,4,2,1,Low,Low,Low
1,29,0,0,0,0,27,Single,1,22.0,-1.2,-2.24,5,2,3,Medium,Low,Low
1,54,0,0,0,2,49,Divorced,1,26.0,-1.04,-2.45,7,2,3,Medium,Low,Low
1,30,0,0,0,6,19,Single,1,21.0,-0.33,-2.45,4,5,3,Low,Medium,Low
0,35,0,0,0,0,34,Divorced,1,16.0,-1.77,-2.99,2,1,1,Low,Low,Low
1,51,0,0,0,17,22,Married,1,17.0,-0.68,-3.09,2,4,1,Low,Low,Low
1,45,0,0,0,20,34,Single,1,27.0,-0.63,-3.17,7,4,1,Medium,Low,Low
1,27,0,0,0,3,23,Married,1,13.0,-1.0,-2.67,1,3,2,Low,Low,Low
1,24,0,0,0,1,21,Single,1,20.0,-1.05,-2.2,3,2,4,Low,Low,Low
1,25,0,0,0,0,24,Single,1,20.0,-0.96,-2.26,3,3,3,Low,Low,Low
1,24,0,0,0,2,22,Single,2,21.0,-0.24,-1.8,4,6,5,Low,Medium,Medium
1,50,0,0,0,0,50,Single,1,11.0,-2.19,-4.07,1,1,1,Low,Low,Low
1,23,0,0,0,2,19,Single,2,18.0,-0.03,-1.68,3,7,6,Low,Medium,Medium
0,42,0,0,0,2,33,Single,1,17.0,-1.21,-2.61,2,3,2,Low,Low,Low
1,55,0,0,0,0,53,Single,1,13.0,-2.09,-3.73,1,1,1,Low,Low,Low
1,29,0,0,0,8,23,Significant Other,1,14.0,-1.08,-2.59,1,2,2,Low,Low,Low
1,36,0,0,0,5,20,Married,1,23.0,-0.69,-2.8,5,4,2,Medium,Low,Low
1,23,0,0,0,0,21,Single,3,23.0,-0.03,-1.21,5,7,8,Medium,Medium,High
1,27,0,0,0,0,27,Single,3,18.0,0.78,-1.4,3,10,7,Low,High,Medium
0,38,0,1,0,8,20,Married,2,24.0,-0.27,-2.16,6,7,4,Medium,Medium,Low
1,69,0,0,0,0,67,Married,1,13.0,-2.76,-4.06,1,1,1,Low,Low,Low
1,21,0,0,1,1,19,Single,2,12.0,-0.33,-1.72,1,5,6,Low,Medium,Medium
1,59,0,0,0,1,59,Married,1,16.0,-1.8,-3.57,2,1,1,Low,Low,Low
1,39,0,0,0,1,37,Single,2,23.0,-0.21,-3.13,5,6,1,Medium,Medium,Low
1,29,0,0,0,2,19,Single,2,16.0,-0.29,-2.4,2,6,3,Low,Medium,Low
1,22,0,0,0,1,19,Single,2,16.0,0.07,-1.78,2,7,5,Low,Medium,Medium
1,28,0,0,0,1,20,Single,2,17.0,-0.56,-1.69,2,4,6,Low,Low,Medium
1,34,0,2,0,8,22,Single,2,21.0,-0.29,-2.68,4,6,2,Low,Medium,Low
1,44,0,0,0,6,38,Divorced,1,22.0,-0.93,-3.03,5,3,1,Medium,Low,Low
0,27,0,0,0,0,27,Single,1,11.0,-1.64,-2.87,1,2,2,Low,Low,Low
1,25,0,0,0,2,21,Single,2,15.0,-0.5,-1.68,1,5,6,Low,Medium,Medium
1,31,0,0,0,0,29,Divorced,4,35.0,1.44,0.16,10,10,10,High,High,High
1,35,0,1,0,17,18,Single,2,17.0,-0.12,-2.59,2,7,2,Low,Medium,Low
1,27,0,0,0,11,19,Single,4,23.0,0.83,-0.81,5,10,9,Medium,High,High
1,30,0,0,0,13,19,Single,2,19.0,-0.27,-2.58,3,6,2,Low,Medium,Low
1,33,0,0,0,1,31,Unknown,1,15.0,-0.46,-2.11,1,5,4,Low,Medium,Low
1,29,0,0,0,0,27,Single,1,18.0,-0.8,-2.77,3,3,2,Low,Low,Low
0,50,0,0,0,0,49,Widowed,1,19.0,-1.33,-3.29,3,2,1,Low,Low,Low
1,28,0,0,0,6,20,Single,3,19.0,0.41,-1.67,3,9,6,Low,High,Medium
